street,lat1,lng1,lat2,lng2
Dr. Paul Dudley White Path,42.3536705,-71.11034,42.3536579,-71.1103657
Camelia Avenue,42.375004,-71.104921,42.375104,-71.104972
Washington Street,42.3793802,-71.0989246,42.3793891,-71.0988672
Upland Park,42.396847,-71.099456,42.396903,-71.099338
Ballord Street,42.363839,-71.113383,42.363877,-71.113001
Broad Canal Street,42.3629912,-71.0823311,42.3629779,-71.0823151
Cambridge Street,42.375888,-71.1176085,42.3758785,-71.1175601
Beacon Street,42.3751057,-71.1024965,42.3754246,-71.1029048
Grove Street,42.378518,-71.158957,42.378832,-71.158904
Massachusetts Avenue,42.404846,-71.141083,42.40461,-71.140788
Bent Street,42.367593,-71.0858273,42.3676078,-71.0859753
Soldiers Field Road,42.363725,-71.139551,42.363643,-71.139998
Cardinal Medeiros Avenue,42.3697398,-71.0898061,42.3703047,-71.0894818
Wendell Street,42.382102,-71.113588,42.381948,-71.114184
Dodge Street,42.365023,-71.11229,42.36535,-71.112208
Huron Avenue,42.380055,-71.152441,42.37999,-71.152218
Alewife Brook Parkway,42.3971928,-71.1411696,42.3973559,-71.1412109
Alewife Brook Parkway,42.3960021,-71.1407048,42.3958584,-71.1406669
Grozier Road,42.380482,-71.142297,42.380933,-71.142465
Linnaean Street,42.38483,-71.119464,42.3848238,-71.1193351
Concord Avenue,42.386525,-71.140136,42.386326,-71.139695
Washington Street,42.3793612,-71.1016964,42.3794039,-71.1014146
Jefferson Street,42.373207,-71.090478,42.373106,-71.089676
Buckingham Street,42.379952,-71.130008,42.380296,-71.129914
Concord Avenue,42.3896482,-71.1482778,42.3897689,-71.148853
Buckingham Street,42.3782571,-71.1291615,42.378553,-71.129341
Rogers Avenue,42.399507,-71.111316,42.399444,-71.111436
Follen Street,42.378755,-71.121006,42.37882,-71.12101
Washington Street,42.3648547,-71.0962494,42.364722,-71.0956283
Cambridgepark Drive,42.3946407,-71.1434795,42.3946398,-71.1434168
Broadway,42.368903,-71.099962,42.368793,-71.099699
Holly Avenue,42.382338,-71.129072,42.382725,-71.129678
Larchwood Drive,42.377151,-71.143073,42.376978,-71.143164
Mount Vernon Street,42.387123,-71.12127,42.387214,-71.120546
Auburn Street,42.363979,-71.105702,42.36428,-71.106224
Soldiers Field Road,42.3694828,-71.1303582,42.3692479,-71.130402
Concord Avenue,42.3957148,-71.1750208,42.3957508,-71.1751827
Sacramento Street,42.382549,-71.114104,42.382555,-71.113968
Medford Street,42.3740874,-71.0880058,42.3740242,-71.0879354
Fairview Avenue,42.379179,-71.158342,42.379135,-71.15779
Morrison Avenue,42.395654,-71.115603,42.395492,-71.114956
Webster Avenue,42.370517,-71.093532,42.370653,-71.093475
Concord Avenue,42.3949985,-71.172387,42.3957148,-71.1750208
Blanchard Road,42.388732,-71.157381,42.388943,-71.157345
Concord Avenue,42.383355,-71.133038,42.383276,-71.132855
Fairmount Street,42.401861,-71.138505,42.402265,-71.137888
Clement Circle,42.38129,-71.131299,42.381284,-71.131401
Everett Street,42.379875,-71.11781,42.379856,-71.117222
Coolidge Hill,42.3724949,-71.1383658,42.372496,-71.1382522
Gray Gardens West,42.383306,-71.129227,42.383322,-71.129185
Dr. Paul Dudley White Path,42.3673294,-71.0738243,42.3672955,-71.0738321
Broadway,42.371195,-71.10575,42.37119,-71.105738
Cambridgepark Drive,42.3946036,-71.1422568,42.3945978,-71.1422083
Boston Avenue,42.398265,-71.110441,42.398928,-71.110909
Amherst Street,42.3607932,-71.0853111,42.3610927,-71.0843568
Vassal Lane,42.382024,-71.1351,42.381836,-71.134846
Dr. Paul Dudley White Path,42.3659884,-71.1366213,42.3660315,-71.136578
Lakeview Avenue,42.383349,-71.140861,42.383925,-71.141065
Concord Avenue,42.3881285,-71.1433812,42.3880604,-71.1432458
Broadway,42.3701396,-71.1030903,42.370077,-71.102933
Washington Street,42.365043,-71.097096,42.365048,-71.09712
Dr. Paul Dudley White Path,42.3730288,-71.1282655,42.3729855,-71.1281516
Pearl Street,42.362227,-71.105308,42.362,-71.105553
Leverett Connector,42.3832308,-71.0768622,42.3829701,-71.0769001
Larchwood Drive,42.377398,-71.142952,42.377151,-71.143073
University Road,42.3725129,-71.1237011,42.3728183,-71.1233055
Storrow Drive,42.351275,-71.10546,42.351155,-71.104318
Cambridge Parkway Bike Path,42.3678864,-71.0742568,42.367928,-71.074234
Cambridge Street,42.3734995,-71.0991386,42.3733731,-71.0981475
Main Street,42.3632083,-71.0967969,42.3632016,-71.0967089
Oak Street,42.3735692,-71.0996622,42.374085,-71.099546
Brookline Street,42.359597,-71.105687,42.35998,-71.105278
Dr. Paul Dudley White Path,42.3536135,-71.1103056,42.3536499,-71.1103269
Grove Street,42.379515,-71.158216,42.379672,-71.158099
Emmett Place,42.367946,-71.085659,42.367856,-71.08494
Crescent Street,42.382555,-71.113968,42.382758,-71.11399
Second Street,42.368801,-71.079084,42.369482,-71.078913
Blanchard Road,42.3909783,-71.1572658,42.391733,-71.157485
Fresh Pond Parkway,42.380928,-71.144619,42.38109,-71.144572
Alewife Brook Parkway,42.4029502,-71.1343108,42.4030938,-71.1342899
Hamilton Road,42.393087,-71.158968,42.393092,-71.158966
Galileo Galilei Way,42.3628535,-71.0899602,42.3627241,-71.0899496
Clement Circle,42.381115,-71.131719,42.381192,-71.13154
Soldiers Field Road,42.367751,-71.121113,42.367738,-71.120706
US 3;SR 2,42.3729338,-71.1339745,42.372969,-71.133879
Green Street,42.365078,-71.104687,42.365175,-71.104864
Eliot Street,42.3729834,-71.121245,42.3728725,-71.1214006
North Point Boulevard,42.3699063,-71.0698906,42.3703987,-71.0708085
Medford Street,42.388662,-71.096658,42.389121,-71.097146
Massachusetts Avenue,42.382178,-71.119743,42.381917,-71.119784
Putnam Avenue,42.364743,-71.11389,42.364873,-71.113865
Acorn Park Road,42.4006241,-71.1536722,42.4006941,-71.1536215
Brattle Street,42.377523,-71.132466,42.377498,-71.132825
Mill Street,42.370265,-71.117751,42.369957,-71.11677
Ellington Road,42.395629,-71.119182,42.3957372,-71.1190658
Alewife T Station Access Road,42.3951492,-71.1426429,42.3947086,-71.1424361
Sumner Road,42.375263,-71.112743,42.375947,-71.112589
Grosvenor Road,42.383072,-71.160254,42.383304,-71.159441
River Street,42.362935,-71.111555,42.363078,-71.111116
Sidney Street,42.356624,-71.106737,42.3558964,-71.1075154
Dr. Paul Dudley White Path,42.3660337,-71.1177275,42.3643441,-71.1177107
Belmont Street,42.374696,-71.1496187,42.374683,-71.1497954
Dr. Paul Dudley White Path,42.3617344,-71.1466469,42.3617412,-71.1466074
Memorial Drive,42.3611103,-71.0810948,42.3613483,-71.0801874
Massachusetts Avenue,42.3978826,-71.1307226,42.398327,-71.131253
Larchwood Drive,42.376765,-71.145061,42.376882,-71.145318
Dr. Paul Dudley White Path,42.360299,-71.0726164,42.3603873,-71.0726078
Lilac Court,42.367419,-71.091719,42.3672459,-71.0912184
Galileo Galilei Way,42.366336,-71.0880028,42.3663325,-71.0878951
Minuteman Bikeway,42.3994149,-71.1446774,42.3993196,-71.1446139
Bennett Street,42.3723442,-71.122005,42.3723182,-71.1219308
Reservoir Street,42.381415,-71.135796,42.381737,-71.135731
Chestnut Street,42.357913,-71.111038,42.357534,-71.110362
Dr. Paul Dudley White Path,42.3654863,-71.1437313,42.3654761,-71.1438391
Acorn Park,42.3978239,-71.1486715,42.39784,-71.1483003
Galileo Galilei Way,42.365847,-71.0891867,42.3657172,-71.0892406
Modica Way,42.3646827,-71.1025243,42.3651177,-71.1020619
Hinckley Street,42.3958218,-71.1061595,42.3954325,-71.1064379
Brighton Street,42.3973408,-71.159387,42.3974386,-71.1594989
Ellery Street,42.3735521,-71.1091889,42.372772,-71.109725
Francis Place,42.393956,-71.133538,42.393979,-71.133128
Edwin H. Land Boulevard,42.3691045,-71.0733676,42.3688658,-71.0736323
Binney Street,42.3660769,-71.0850436,42.3661951,-71.0859627
Amesbury Street,42.354258,-71.104781,42.3542907,-71.1047926
Mary Street,42.402695,-71.151814,42.403016,-71.15027
Raymond Street,42.384914,-71.126078,42.385377,-71.126338
First Street,42.3679188,-71.0775599,42.3685733,-71.0774066
Greenough Boulevard,42.3682405,-71.1355396,42.3681004,-71.1357116
Pond Street,42.398147,-71.15667,42.398066,-71.156584
Dr. Paul Dudley White Path,42.3575365,-71.0739611,42.3575571,-71.0739256
Dr. Paul Dudley White Path,42.3642722,-71.1389014,42.3642975,-71.1388074
John F. Kennedy Street,42.3689262,-71.1231928,42.3692523,-71.1229083
North Point Boulevard,42.3693698,-71.069276,42.3693362,-71.0692903
Lafayette Street,42.401403,-71.137846,42.401758,-71.137288
North Harvard Street,42.3685969,-71.1234744,42.3686307,-71.12345
Glenn Road,42.38894,-71.158055,42.388919,-71.157905
Museum Street,42.380329,-71.114101,42.380324,-71.114089
Lincoln Street,42.371401,-71.095341,42.37124,-71.094849
Lafayette Street,42.399916,-71.140696,42.400103,-71.1402866
Massachusetts Avenue,42.4013004,-71.1366958,42.401141,-71.136392
Central Street,42.393476,-71.099884,42.393895,-71.099577
Main Street,42.3630307,-71.094424,42.3629957,-71.0938536
Broad Channel Boardwalk,42.3630637,-71.0823863,42.3630222,-71.0824092
Dudley Street,42.395743,-71.133194,42.39575,-71.13282
Hampshire Street,42.3738259,-71.1009424,42.3739889,-71.1011367
Land Boulevard,42.3629002,-71.0787263,42.3627167,-71.0787742
Brattle Circle,42.3755619,-71.1415323,42.3755753,-71.1415658
Fresh Pond Paths,42.3831873,-71.1427656,42.3834599,-71.1425252
Dr. Paul Dudley White Path,42.3651055,-71.145042,42.3650627,-71.1451145
Thorndike Street,42.3696341,-71.0801488,42.369625,-71.080083
Jackson Circle,42.3918934,-71.1355577,42.3919018,-71.135513
SR 2,42.3973271,-71.1415223,42.397277,-71.1414194
Columbia Street,42.3669905,-71.0978512,42.367798,-71.097389
Memorial Drive,42.3563653,-71.095759,42.35609,-71.096564
Dr. Paul Dudley White Path,42.3618816,-71.1489281,42.3618547,-71.1489417
Garden Street,42.378299,-71.123691,42.378337,-71.123718
Carver Street,42.38226,-71.112989,42.382719,-71.113214
Windsor Street,42.3750459,-71.092882,42.3751272,-71.0928585
Dunstable Road,42.380211,-71.134978,42.380305,-71.13414
Leverett Connector,42.3741737,-71.071765,42.3744427,-71.0721597
Broadway,42.374159,-71.113275,42.373969,-71.112777
Dr. Paul Dudley White Path,42.3615097,-71.1161186,42.3625343,-71.1161695
Massachusetts Avenue,42.390597,-71.121457,42.390939,-71.122208
Alewife T Station Access Road,42.39468,-71.1424162,42.39465,-71.1423819
Blackstone Street,42.362092,-71.1143856,42.362184,-71.114427
Memorial Drive,42.3539877,-71.110194,42.3541272,-71.1104687
Gerry's Landing Road,42.3729462,-71.1344468,42.3729641,-71.134455
Massachusetts Avenue,42.396204,-71.128824,42.3966533,-71.1293322
Bishop R Allen Drive,42.364154,-71.099468,42.3639366,-71.0990984
Soldiers Field Road,42.356791,-71.118249,42.356957,-71.118216
Ames Street,42.3626909,-71.0881136,42.3627308,-71.088105
Dr. Paul Dudley White Path,42.3703016,-71.1308708,42.3704375,-71.1309046
Stewart Terrace,42.391013,-71.159105,42.3911409,-71.1590775
Garden Street,42.384666,-71.131018,42.384484,-71.130792
Magazine Street,42.3652073,-71.10432,42.3650604,-71.1044835
Sacramento Street,42.382612,-71.113547,42.382713,-71.113229
Otis Street,42.371226,-71.08706,42.371117,-71.086289
Sherman Street,42.384719,-71.129988,42.38513,-71.130263
Wood Street,42.387769,-71.129803,42.387859,-71.129865
Brookline Street,42.361219,-71.103969,42.361634,-71.103575
Copley Street,42.384823,-71.134493,42.384376,-71.133488
Concord Avenue,42.3909214,-71.1568817,42.3909558,-71.1570705
Fitchburg Cutoff Path,42.3959893,-71.158489,42.3959989,-71.1585513
Soldiers Field Road,42.372568,-71.128154,42.372487,-71.127959
Hamilton Road,42.393763,-71.158719,42.393869,-71.158597
Brookline Street,42.358632,-71.106695,42.359151,-71.106153
Washington Street,42.386317,-71.173733,42.386373,-71.17318
Gerry's Landing Road,42.371512,-71.134343,42.3715999,-71.13444
Alewife Brook Parkway,42.3918337,-71.1411033,42.3927382,-71.1408174
Memorial Drive,42.3642939,-71.1160511,42.3643843,-71.1160471
Monsignor O'Brien Highway,42.3694949,-71.073885,42.3691946,-71.0732719
Chauncy Street,42.3793357,-71.1232887,42.3795279,-71.1226691
Dr. Paul Dudley White Path,42.3714619,-71.1317526,42.3715316,-71.1318469
Flagg Street,42.3677511,-71.1148907,42.367749,-71.114729
US 1,42.3697401,-71.066024,42.3697561,-71.0657854
Greenough Boulevard,42.3677389,-71.1362173,42.3678731,-71.1359935
Cambridgepark Place,42.3939729,-71.1418868,42.3940341,-71.1419378
Memorial Drive,42.366531,-71.115945,42.3666704,-71.1159736
Orchard Street,42.3905367,-71.119434,42.390996,-71.119953
Huron Avenue,42.382003,-71.131547,42.382233,-71.131268
Soldiers Field Road,42.367612,-71.119113,42.367693,-71.119343
Hawthorne Street,42.394044,-71.118358,42.393784,-71.11772
Beech Path,42.388267,-71.1492743,42.3882274,-71.1492153
Yerxa Road,42.39189,-71.129158,42.392837,-71.129112
Magoun Street,42.400431,-71.135214,42.400232,-71.135224
Pond Place,42.363209,-71.113672,42.363249,-71.113374
Earle Street,42.3753963,-71.0907688,42.3754066,-71.0907791
Amherst Street,42.356353,-71.098021,42.356047,-71.098852
Irving Street,42.379616,-71.111242,42.379362,-71.111148
Brown Street,42.37633,-71.128759,42.375816,-71.128977
Berkshire Place,42.368457,-71.091939,42.368334,-71.091642
Dr. Paul Dudley White Path,42.3642975,-71.1388074,42.3643159,-71.1387294
Back Street,42.350372,-71.094906,42.3503709,-71.0944721
Grove Street,42.384222,-71.159053,42.384529,-71.159235
First Street,42.3700271,-71.0770661,42.3706364,-71.0769234
Concord Avenue,42.3909821,-71.1573884,42.3909928,-71.1575162
Dr. Paul Dudley White Path,42.3561547,-71.0750037,42.3562189,-71.0749108
Elm Street,42.3900727,-71.1174465,42.3902704,-71.1176506
Education Street,42.3698209,-71.0697438,42.3701577,-71.0688773
Allston Street,42.3581054,-71.1072409,42.3577334,-71.1066058
Gray Street,42.382777,-71.121844,42.383158,-71.122202
Waverly Street,42.3574142,-71.1038121,42.3574272,-71.1037634
Magazine Street,42.357036,-71.1133638,42.3573751,-71.1129927
Elm Street,42.381113,-71.162323,42.38135,-71.161382
Chestnut Street,42.3558964,-71.1075154,42.355523,-71.106853
Memorial Drive,42.362515,-71.116039,42.3628756,-71.1160523
Holland Street,42.3970229,-71.1229348,42.397087,-71.122982
Dr. Paul Dudley White Path,42.3542581,-71.1115097,42.3543203,-71.1115676
South Street,42.3744224,-71.0907475,42.374344,-71.090233
Dr. Paul Dudley White Path,42.3574307,-71.0740539,42.357472,-71.0740253
Craigie Street,42.3789394,-71.1271215,42.3790282,-71.1268468
Western Avenue,42.363392,-71.133336,42.363383,-71.133088
Peters Street,42.3574416,-71.1069319,42.3577334,-71.1066058
Massachusetts Avenue,42.391972,-71.124056,42.392191,-71.124303
Saint Johns Road,42.377121,-71.124538,42.377081,-71.124479
Brighton Street,42.3959628,-71.1588163,42.3959807,-71.1588218
Brown Street,42.377173,-71.128352,42.376657,-71.128601
Assembly Square Drive,42.397678,-71.084057,42.397795,-71.084104
Concord Turnpike,42.4005109,-71.1513897,42.4000071,-71.1497709
Dr. Paul Dudley White Path,42.3728107,-71.1277647,42.3727479,-71.1276586
Community Path,42.372853,-71.076577,42.372472,-71.075981
Soldiers Field Road,42.357413,-71.118074,42.357915,-71.117894
North Point Boulevard,42.3692351,-71.0690852,42.3692713,-71.0690358
Watson Street,42.361897,-71.104005,42.361869,-71.10396
Kinnaird Street,42.367061,-71.110948,42.367114,-71.111104
Dickinson Street,42.3665352,-71.0950947,42.3665578,-71.0950989
Montgomery Street,42.393979,-71.133128,42.394424,-71.133149
Larchwood Drive,42.376649,-71.144369,42.376684,-71.14476
Berkeley Street,42.377771,-71.124631,42.37751,-71.124318
Chestnut Street,42.35708,-71.109583,42.356868,-71.109219
Dr. Paul Dudley White Path,42.3670626,-71.1348185,42.3672373,-71.1342507
Putnam Avenue,42.3598384,-71.1122546,42.359636,-71.111951
Hampshire Street,42.3727574,-71.0996524,42.3728398,-71.0997554
Soldiers Field Road,42.3689436,-71.1255256,42.3687911,-71.1250916
Saint Saveur Court,42.377108,-71.152596,42.377076,-71.152783
SR 2,42.3538391,-71.1108753,42.3537567,-71.1107723
Dr. Paul Dudley White Path,42.3624409,-71.0729891,42.3624536,-71.0729879
Memorial Drive,42.36982,-71.1225626,42.3698596,-71.1226692
Felton Street,42.3752,-71.112242,42.374826,-71.112312
Leverett Connector,42.3762309,-71.0744707,42.3756028,-71.0737333
Vassar Street,42.3607724,-71.0937342,42.3601892,-71.0949371
Holmes Street,42.377612,-71.149753,42.377612,-71.149567
Trowbridge Street,42.372312,-71.111429,42.372833,-71.111094
Dr. Paul Dudley White Path,42.3540818,-71.1113451,42.3542581,-71.1115097
Soldiers Field Road,42.365562,-71.133529,42.365788,-71.133121
Gerry's Landing Road,42.3748049,-71.1384706,42.3746769,-71.1381555
Porter Square,42.3884097,-71.1190017,42.388376,-71.118915
Alewife T Station Access Road,42.3977948,-71.1436938,42.3976756,-71.1436329
Cornelius Way,42.369077,-71.090033,42.369013,-71.089829
Norfolk Street,42.3651733,-71.1013112,42.3648589,-71.1016346
Ash Street,42.373874,-71.12579,42.373561,-71.125976
Brattle Street,42.376322,-71.126004,42.37642,-71.126443
Greenough Boulevard,42.3643671,-71.1462842,42.3641799,-71.1464798
Dr. Paul Dudley White Path,42.3663823,-71.1361579,42.3664521,-71.1361318
Wadsworth Street,42.3610352,-71.0843217,42.3610927,-71.0843568
Greenough Boulevard,42.36552,-71.1445049,42.3654784,-71.1446503
Old Dee Road,42.375987,-71.144873,42.375992,-71.144816
Mystic Avenue,42.4004133,-71.0961932,42.400461,-71.0962649
Arcadia Street,42.383484,-71.114592,42.383889,-71.114582
Dr. Paul Dudley White Path,42.3639521,-71.1411006,42.3639749,-71.1410147
Sibley Court,42.375744,-71.131102,42.37569,-71.130461
Channing Street,42.37655,-71.13577,42.37705,-71.135929
SR 2,42.3536743,-71.1104215,42.3537313,-71.1104032
Eliot Street,42.3723564,-71.1218144,42.3726565,-71.1215749
Alewife Brook Parkway,42.397683,-71.1418802,42.3976344,-71.141854
Hampshire Street,42.3733994,-71.1004214,42.3734659,-71.1005107
Embankment Road,42.365537,-71.069513,42.365422,-71.069574
Cambridgepark Drive,42.3947184,-71.141023,42.3947076,-71.1412567
Brookline Street,42.3566298,-71.108803,42.3573655,-71.108022
Watson Street,42.362496,-71.105002,42.362285,-71.104652
Massachusetts Avenue,42.3853706,-71.1193914,42.38483,-71.119464
Cottage Avenue,42.394115,-71.122369,42.3945836,-71.1229752
Sidney Street,42.36035,-71.102478,42.3608627,-71.1018851
Leverett Connector,42.3758856,-71.0739699,42.3760447,-71.0741575
Fayerweather Street,42.382951,-71.136965,42.382487,-71.137068
Massachusetts Avenue,42.372204,-71.1155367,42.3722359,-71.115579
Channing Street,42.3749895,-71.1352585,42.37548,-71.135423
Windsor Street,42.372754,-71.093279,42.373013,-71.093179
Putnam Avenue,42.365702,-71.113635,42.365749,-71.113622
Dr. Paul Dudley White Path,42.3732445,-71.1296345,42.3732507,-71.1294931
Dr. Paul Dudley White Path,42.35508,-71.0781845,42.3552322,-71.0776157
Dr. Paul Dudley White Path,42.3516707,-71.0925534,42.3517324,-71.0923431
Massachusetts Avenue,42.399847,-71.133426,42.399979,-71.133717
Alewife T Station Access Road,42.3952326,-71.1425289,42.3955562,-71.14269
Sargent Street,42.392638,-71.131968,42.393435,-71.132057
Fitchburg Cutoff Path,42.3955269,-71.1434595,42.3955368,-71.1435894
Henry Street,42.356392,-71.1104607,42.356798,-71.1111645
Greenough Boulevard,42.3637299,-71.1469533,42.3635411,-71.1471472
Concord Avenue,42.3948563,-71.1721567,42.3943901,-71.1706868
Sherman Street,42.388911,-71.132623,42.3891442,-71.1326308
Dr. Paul Dudley White Path,42.3560733,-71.1140833,42.3561364,-71.1141842
Soldiers Field Road,42.3681473,-71.1308366,42.367992,-71.1309261
Amherst Street,42.355633,-71.100136,42.355839,-71.09944
Temple Road,42.3977461,-71.086116,42.3984348,-71.0851927
Upland Road,42.385294,-71.128192,42.385056,-71.128034
Kinnaird Street,42.366217,-71.109262,42.366366,-71.109546
Concord Avenue,42.3891562,-71.145997,42.3891995,-71.1461748
Dickinson Street,42.3743585,-71.1014596,42.3743132,-71.1015247
Grove Street,42.383543,-71.158601,42.384222,-71.159053
Dr. Paul Dudley White Path,42.3657853,-71.1369834,42.3658219,-71.1369324
Memorial Drive,42.3544092,-71.1109987,42.3547737,-71.1116494
Thingvalla Avenue,42.376124,-71.153627,42.376123,-71.153404
