West 67th Street,40.7742266,-73.9811168,40.7746427,-73.98209
Riverside Drive,40.830071,-73.950012,40.830312,-73.949951
West 14th Street,40.740858,-74.005158,40.740945,-74.005366
Harlem River Drive,40.8072178,-73.933803,40.8075946,-73.9340948
West 44th Street,40.757339,-73.986014,40.757258,-73.985821
Park Avenue South,40.743945,-73.983627,40.744562,-73.983177
FDR Drive,40.7039127,-74.0063718,40.7048562,-74.0049213
Hudson River Greenway,40.8661797,-73.9325427,40.866327,-73.9324272
Main Street,40.766799,-73.9446788,40.7668338,-73.9446606
East 50th Street,40.7572106,-73.9740539,40.7571208,-73.9738402
Wadsworth Avenue,40.844636,-73.938731,40.8453,-73.938262
West 31st Street,40.750293,-73.994844,40.7514523,-73.9976021
Harlem River Driveway,40.830833,-73.939959,40.8307374,-73.9399948
West 96th Street,40.7946106,-73.971682,40.7947101,-73.9719192
West 181st Street,40.848116,-73.9308769,40.848735,-73.932337
Central Park Great Hill,40.7972737,-73.9583409,40.7972876,-73.9584048
Park Terrace West,40.8697149,-73.9199226,40.8697675,-73.9199139
Ludlow Street,40.7188439,-73.9889926,40.7187082,-73.9890559
Manhattan Bridge lower level (reversible),40.706682,-73.9902313,40.7041647,-73.9888633
Dyer Avenue,40.7514831,-73.9994687,40.7513762,-73.999294
FDR Drive,40.7741953,-73.943446,40.7744488,-73.9432057
West Drive,40.7993519,-73.9564078,40.7993853,-73.956632
Stuyvesant Loop North,40.7330832,-73.9753942,40.7329882,-73.9754355
Macombs Place,40.825898,-73.939351,40.826334,-73.938459
Edgecombe Avenue,40.8392751,-73.9350434,40.839408,-73.9350082
Grand Street,40.7195798,-73.9980752,40.719324,-73.997303
East 74th Street,40.7730963,-73.964476,40.7724554,-73.9629623
Lincoln Tunnel Expressway,40.7547717,-73.9974085,40.7548181,-73.9972395
Hamilton Place,40.822646,-73.9513029,40.8231195,-73.9504964
Reade Street,40.716014,-74.008823,40.716188,-74.009205
Lexington Avenue,40.8018125,-73.9392896,40.8011925,-73.9397405
Columbus Avenue,40.7890547,-73.9703031,40.7884217,-73.9707647
West 13th Street,40.7403587,-74.0060505,40.740942,-74.007483
4th Avenue,40.7298984,-73.990721,40.7305709,-73.9905441
97th Street Transverse,40.7917411,-73.963139,40.7917423,-73.9630648
East 127th Street,40.804995,-73.934871,40.804065,-73.932663
3rd Avenue,40.782008,-73.951659,40.7826257,-73.9512051
5th Avenue,40.784098,-73.958558,40.783467,-73.959004
Forsyth Street,40.722181,-73.990914,40.7233779,-73.9903054
West 49th Street,40.7660983,-73.9971568,40.7661828,-73.9973628
Hudson River Greenway,40.7293984,-74.0109069,40.7291435,-74.0109441
West 93rd Street,40.7909308,-73.9689347,40.7921252,-73.9717687
East 74th Street,40.7691042,-73.9550486,40.7681524,-73.952801
Riverside Drive,40.830566,-73.949866,40.830775,-73.949778
East 96th Street,40.7829668,-73.9440519,40.7828561,-73.9437894
West 11th Street,40.736564,-74.001095,40.736414,-74.001948
Central Park Great Hill,40.7965154,-73.9587378,40.7965457,-73.9586106
East Houston Street,40.72241,-73.9871669,40.7221619,-73.9863352
Esplanade,40.7119316,-74.0178558,40.7122405,-74.0177742
Wadsworth Ave,40.853582,-73.932228,40.8542,-73.9317956
33rd Road,40.7674361,-73.9403037,40.766817,-73.93859
Saint Clair Place,40.8176383,-73.9609797,40.81751,-73.960687
10th Avenue,40.7535203,-73.9999221,40.753918,-73.999633
Broadway,40.843942,-73.939025,40.844679,-73.938855
East Broadway,40.713468,-73.9973,40.71369,-73.994585
Saint Anns Avenue,40.815486,-73.91226,40.816047,-73.911942
FDR Drive,40.7014626,-74.0150712,40.7018335,-74.0154917
12th Avenue,40.7583437,-74.003779,40.7589166,-74.0033606
East Drive,40.7954694,-73.9533526,40.7955165,-73.9533452
Harlem River Driveway,40.832959,-73.9385151,40.8327512,-73.9387039
FDR Drive,40.7111711,-73.9791184,40.7113796,-73.9787096
97th Street Transverse,40.79174,-73.9629862,40.791735,-73.9629182
