1,1,0,0
1,2,136,811
1,3,802,3060
1,4,224,1192
1,5,775,3055
1,6,1136,4831
1,7,1027,4448
1,8,1218,5319
1,9,1139,5090
1,10,1252,5381
1,11,1266,5604
1,12,1436,5962
1,13,1326,5735
1,14,1525,6288
1,15,1448,6017
1,16,1350,5704
1,17,1335,5342
1,18,1373,5989
1,19,1411,5889
2,1,152,760
2,2,0,0
2,3,860,3062
2,4,71,427
2,5,638,2245
2,6,998,4021
2,7,889,3638
2,8,1081,4508
2,9,1001,4280
2,10,1115,4570
2,11,1129,4793
2,12,1299,5152
2,13,1189,4925
2,14,1387,5478
2,15,1311,5207
2,16,1212,4893
2,17,1198,4532
2,18,1236,5179
2,19,1274,5079
3,1,864,2973
3,2,808,3043
3,3,0,0
3,4,939,3369
3,5,1022,3861
3,6,1439,6037
3,7,1053,4640
3,8,1595,6844
3,9,1774,6794
3,10,1770,7515
3,11,1643,6964
3,12,1531,6614
3,13,1238,5068
3,14,1609,7019
3,15,1724,7369
3,16,1840,7775
3,17,1266,5223
3,18,2008,7692
3,19,1448,7062
4,1,230,1192
4,2,77,427
4,3,939,3490
4,4,0,0
4,5,568,1817
4,6,928,3593
4,7,820,3210
4,8,1011,4080
4,9,931,3852
4,10,1045,4142
4,11,1059,4365
4,12,1229,4723
4,13,1119,4497
4,14,1317,5050
4,15,1241,4779
4,16,1143,4465
4,17,1128,4104
4,18,1166,4751
4,19,1204,4651
5,1,642,3060
5,2,503,2244
5,3,987,4048
5,4,425,1818
5,5,0,0
5,6,626,2159
5,7,503,1960
5,8,688,2646
5,9,593,2680
5,10,638,2720
5,11,736,2931
5,12,820,3281
5,13,687,2921
5,14,1057,4872
5,15,809,3334
5,16,723,3021
5,17,715,3076
5,18,772,3304
5,19,772,3074
6,1,1063,4881
6,2,959,4210
6,3,1203,5170
6,4,881,3785
6,5,517,2107
6,6,0,0
6,7,560,2489
6,8,304,799
6,9,530,2391
6,10,521,2016
6,11,385,1706
6,12,273,1357
6,13,296,1218
6,14,347,1761
6,15,469,2110
6,16,583,2512
6,17,200,511
6,18,692,2866
6,19,327,1057
7,1,943,4156
7,2,839,3486
7,3,945,4197
7,4,760,3060
7,5,568,1958
7,6,684,2956
7,7,0,0
7,8,840,3763
7,9,1134,4885
7,10,1015,4434
7,11,888,3882
7,12,776,3533
7,13,483,1987
7,14,854,3938
7,15,969,4287
7,16,1085,4694
7,17,511,2142
7,18,1194,5044
7,19,568,2141
8,1,1238,5540
8,2,1133,4869
8,3,1666,7718
8,4,1055,4443
8,5,691,2766
8,6,310,797
8,7,672,2973
8,8,0,0
8,9,480,1900
8,10,423,1527
8,11,287,1217
8,12,175,867
8,13,408,1702
8,14,249,1271
8,15,371,1620
8,16,485,2023
8,17,212,832
8,18,594,2377
8,19,346,1381
9,1,955,4703
9,2,830,4033
9,3,1442,6210
9,4,752,3607
9,5,552,2531
9,6,548,1993
9,7,1019,4489
9,8,408,1512
9,9,0,0
9,10,257,535
9,11,271,840
9,12,380,1190
9,13,816,3211
9,14,413,1516
9,15,351,1244
9,16,279,929
9,17,625,2345
9,18,328,1213
9,19,755,2891
10,1,1092,5157
10,2,966,4486
10,3,1579,6664
10,4,888,4060
10,5,431,2238
10,6,417,1705
10,7,970,4189
10,8,280,1220
10,9,137,453
10,10,0,0
10,11,160,547
10,12,269,660
10,13,705,2918
10,14,301,1223
10,15,240,951
10,16,246,1026
10,17,514,2051
10,18,322,1078
10,19,644,2597
11,1,1225,5465
11,2,1100,4794
11,3,1832,8156
11,4,1022,4369
11,5,823,3292
11,6,387,1393
11,7,887,3959
11,8,346,1203
11,9,270,762
11,10,219,389
11,11,0,0
11,12,109,350
11,13,622,2688
11,14,156,675
11,15,80,404
11,16,213,715
11,17,431,1820
11,18,304,1158
11,19,561,2368
12,1,1255,5735
12,2,1129,5065
12,3,1722,7806
12,4,1051,4639
12,5,800,3404
12,6,273,1352
12,7,778,3609
12,8,170,866
12,9,300,1032
12,10,248,659
12,11,112,349
12,12,0,0
12,13,513,2338
12,14,141,638
12,15,192,753
12,16,308,1159
12,17,321,1470
12,18,508,1352
12,19,451,2018
13,1,1179,5190
13,2,1074,4519
13,3,1210,5468
13,4,996,4093
13,5,632,2416
13,6,429,1684
13,7,265,1271
13,8,585,2491
13,9,880,3613
13,10,761,3162
13,11,634,2610
13,12,522,2261
13,13,0,0
13,14,600,2666
13,15,715,3016
13,16,831,3422
13,17,257,870
13,18,940,3772
13,19,284,317
14,1,1341,6143
14,2,1216,5473
14,3,1898,8969
14,4,1138,5047
14,5,939,3971
14,6,336,1757
14,7,825,3934
14,8,233,1272
14,9,386,1440
14,10,238,986
14,11,196,755
14,12,126,634
14,13,645,2973
14,14,0,0
14,15,171,521
14,16,238,662
14,17,449,2107
14,18,401,1417
14,19,584,2653
15,1,1295,6120
15,2,1169,5450
15,3,1782,7627
15,4,1091,5024
15,5,892,3948
15,6,417,1795
15,7,991,4283
15,8,423,1856
15,9,340,1417
15,10,233,966
15,11,291,951
15,12,207,672
15,13,727,3011
15,14,141,351
15,15,0,0
15,16,143,562
15,17,639,2692
15,18,224,754
15,19,665,2691
16,1,1181,5556
16,2,1056,4886
16,3,1668,7064
16,4,978,4460
16,5,779,3384
16,6,508,2109
16,7,1061,4593
16,8,390,1622
16,9,226,853
16,10,90,404
16,11,255,715
16,12,281,985
16,13,796,3322
16,14,194,662
16,15,115,391
16,16,0,0
16,17,600,2456
16,18,297,285
16,19,735,3002
17,1,1046,4748
17,2,942,4078
17,3,1186,5037
17,4,864,3652
17,5,500,1974
17,6,218,820
17,7,462,2142
17,8,348,840
17,9,584,2429
17,10,565,2057
17,11,423,1747
17,12,317,1398
17,13,197,871
17,14,391,1802
17,15,503,2151
17,16,766,3263
17,17,0,0
17,18,764,3053
17,19,229,710
18,1,1238,5843
18,2,1112,5172
18,3,1725,7350
18,4,1034,4747
18,5,835,3670
18,6,830,3133
18,7,1149,4878
18,8,464,1910
18,9,283,1140
18,10,178,688
18,11,331,1005
18,12,357,1274
18,13,884,3607
18,14,281,947
18,15,203,676
18,16,87,285
18,17,679,2746
18,18,0,0
18,19,822,3287
19,1,1180,5292
19,2,1076,4621
19,3,1271,5786
19,4,998,4196
19,5,634,2518
19,6,352,1364
19,7,326,1589
19,8,514,2171
19,9,808,3293
19,10,690,2842
19,11,563,2291
19,12,451,1941
19,13,61,317
19,14,528,2346
19,15,644,2696
19,16,759,3102
19,17,180,550
19,18,869,3452
19,19,0,0
