lat,lng,name
40.068173,-105.202555,Gunbarrel
40.048465, -105.272679,North Boulder
40.027634, -105.269246,Central Boulder
40.007848, -105.264697,Univ. of Colorado, Boulder
40.000485, -105.235943,East Boulder
39.977534, -105.258431, South Boulder
40.036375, -105.237832, Hayden Lake
