40.7248999,-73.9924065,40.7252302,-73.9922909,Bowery,Bleecker Street Broadway Lafayette Street
40.7252302,-73.9922909,40.725902,-73.9946459,Bleecker St,Bleecker Street Broadway Lafayette Street
40.725902,-73.9946459,40.725829,-73.9947145,Lafayette St,Bleecker Street Broadway Lafayette Street
40.8487108,-73.9373424,40.8420506,-73.9392838,Broadway,168th Street Washington Heights
40.8420506,-73.9392838,40.8409963,-73.9397287,Broadway,168th Street Washington Heights
40.7117622,-74.0039785,40.7124876,-74.0048032,Brooklyn Bridge Promenade,Brooklyn Bridge Chambers Street
40.7124876,-74.0048032,40.7126506,-74.0046036,Centre St,Brooklyn Bridge Chambers Street
40.8047335,-73.9680089,40.8042134,-73.9668086,W 110th St,59th Street Columbus Circle
40.8042134,-73.9668086,40.7682848,-73.9822599,Broadway,59th Street Columbus Circle
40.7666497,-73.9446325,40.7668519,-73.9447943,E Rd,Lexington Avenue 59th Street
40.7668519,-73.9447943,40.7641352,-73.9476803,Main St,Lexington Avenue 59th Street
40.7641352,-73.9476803,40.7640034,-73.9469254,Roosevelt Island Bridge,Lexington Avenue 59th Street
40.7640034,-73.9469254,40.7620676,-73.9424593,Vernon Blvd,Lexington Avenue 59th Street
40.7620676,-73.9424593,40.757799,-73.945814,Vernon Blvd,Lexington Avenue 59th Street
40.757799,-73.945814,40.7542942,-73.9394597,40th Ave,Lexington Avenue 59th Street
40.7542942,-73.9394597,40.7516408,-73.9419351,23rd St,Lexington Avenue 59th Street
40.7516408,-73.9419351,40.7510303,-73.9406718,Queensboro Bridge Greenway,Lexington Avenue 59th Street
40.7510303,-73.9406718,40.7602427,-73.9615112,Queensboro Bridge Path,Lexington Avenue 59th Street
40.7602427,-73.9615112,40.762849,-73.967723,E 60th St,Lexington Avenue 59th Street
40.762849,-73.967723,40.7625029,-73.967976,Lexington Ave,Lexington Avenue 59th Street
40.8484659,-73.9359857,40.8446629,-73.9387203,Wadsworth Ave,168th Street Washington Heights
40.8446629,-73.9387203,40.8446994,-73.9388765,W 173rd St,168th Street Washington Heights
40.8446994,-73.9388765,40.8420506,-73.9392838,Broadway,168th Street Washington Heights
40.8420506,-73.9392838,40.8409963,-73.9397287,Broadway,168th Street Washington Heights
40.7133277,-74.010995,40.7127415,-74.0096628,Barclay St,Delancey Street Essex Street
40.7127415,-74.0096628,40.7126791,-74.0097111,Church St,Delancey Street Essex Street
40.7131955,-73.9774639,40.7133225,-73.9774181,Grand St,Canal Street
40.7133225,-73.9774181,40.7197742,-73.9985432,Grand St,Canal Street
40.7197742,-73.9985432,40.7180321,-73.9999492,Centre St,Canal Street
40.8031544,-73.9729194,40.7948797,-73.9786966,Cherry Walk/Hudson River Greenway,59th Street Columbus Circle
40.7948797,-73.9786966,40.7851598,-73.9826846,Hudson River Greenway,59th Street Columbus Circle
40.7851598,-73.9826846,40.785044,-73.982804,W 79th St,59th Street Columbus Circle
40.785044,-73.982804,40.7838868,-73.9800804,W 79th St,59th Street Columbus Circle
40.7838868,-73.9800804,40.7682848,-73.9822599,Broadway,59th Street Columbus Circle
40.746649,-73.9900671,40.7493676,-73.9880565,Avenue of the Americas,34th Street Herald Square
40.7576704,-73.9928108,40.756567,-73.990276,W 41st St,42nd Street Port Authority Bus Terminal
40.756567,-73.990276,40.7571984,-73.9898143,8th Ave,42nd Street Port Authority Bus Terminal
40.7860399,-73.9396573,40.7850875,-73.9411125,FDR Drive,Lexington Avenue 59th Street
40.7850875,-73.9411125,40.7849015,-73.9412904,FDR Drive,Lexington Avenue 59th Street
40.7849015,-73.9412904,40.7830368,-73.9440183,FDR Drive,Lexington Avenue 59th Street
40.7830368,-73.9440183,40.7841667,-73.94703,E 96th St,Lexington Avenue 59th Street
40.7841667,-73.94703,40.7643734,-73.9616091,2nd Ave,Lexington Avenue 59th Street
40.7643734,-73.9616091,40.7659808,-73.9654396,E 65th St,Lexington Avenue 59th Street
40.7659808,-73.9654396,40.7625029,-73.967976,Lexington Ave,Lexington Avenue 59th Street
40.8094472,-73.9356542,40.8095603,-73.9359272,E 132nd St,168th Street Washington Heights
40.8095603,-73.9359272,40.8140812,-73.9347965,Park Ave,168th Street Washington Heights
40.8140812,-73.9347965,40.8171844,-73.934457,Madison Ave,168th Street Washington Heights
40.8171844,-73.934457,40.8215628,-73.944832,W 142nd St,168th Street Washington Heights
40.8215628,-73.944832,40.8236602,-73.9438387,Edgecombe Ave,168th Street Washington Heights
40.8236602,-73.9438387,40.8240287,-73.9447174,W 145th St,168th Street Washington Heights
40.8240287,-73.9447174,40.8356751,-73.9395497,Saint Nicholas Ave,168th Street Washington Heights
40.8356751,-73.9395497,40.835828,-73.9398819,W 162nd St,168th Street Washington Heights
40.835828,-73.9398819,40.8409813,-73.9394715,Saint Nicholas Ave,168th Street Washington Heights
40.8409813,-73.9394715,40.8410624,-73.939681,W 168th St,168th Street Washington Heights
40.8410624,-73.939681,40.8409963,-73.9397287,Broadway,168th Street Washington Heights
40.7232778,-74.0080147,40.7236014,-74.0079546,Hudson St,Canal Street
40.7236014,-74.0079546,40.7180239,-74.0000407,Canal St,Canal Street
40.8294001,-73.9521563,40.8295941,-73.9519593,,168th Street Washington Heights
40.8295941,-73.9519593,40.8290711,-73.9507676,,168th Street Washington Heights
40.8290711,-73.9507676,40.8289331,-73.9506967,W 148th St,168th Street Washington Heights
