start_lat,start_lng,end_lat,end_lng,name
37.7229205,-122.4449478,37.7229128,-122.4447991,Ocean Ave
37.7229128,-122.4447991,37.7302448,-122.4377365,San Jose Avenue
37.7229205,-122.4449478,37.7229128,-122.4447991,Ocean Ave
37.7229128,-122.4447991,37.7305,-122.4365154,San Jose Avenue
37.7229205,-122.4449478,37.7229128,-122.4447991,Ocean Ave
37.7229128,-122.4447991,37.7307019,-122.4356637,San Jose Avenue
37.7307019,-122.4356637,37.730478,-122.4353863,Tingley St
37.7229214,-122.4449723,37.7229185,-122.4516208,Ocean Ave
37.7229185,-122.4516208,37.7230769,-122.4516988,Geneva Ave
37.7230769,-122.4516988,37.7231583,-122.4523301,Ocean Ave
37.7231583,-122.4523301,37.727924,-122.4523834,Phelan Ave
37.727924,-122.4523834,37.728303,-122.4523341,Phelan Ave
37.728303,-122.4523341,37.7298675,-122.452451,Phelan Ave
37.7298675,-122.452451,37.729842,-122.4534048,Flood Ave
37.7229214,-122.4449723,37.7229185,-122.4516208,Ocean Ave
37.7229185,-122.4516208,37.7230769,-122.4516988,Geneva Ave
37.7230769,-122.4516988,37.7231583,-122.4523301,Ocean Ave
37.7231583,-122.4523301,37.727924,-122.4523834,Phelan Ave
37.727924,-122.4523834,37.728303,-122.4523341,Phelan Ave
37.728303,-122.4523341,37.729517,-122.45245,Phelan Ave
37.7229214,-122.4449723,37.7229198,-122.4471932,Ocean Ave
37.7229198,-122.4471932,37.7230421,-122.4471668,Ocean Ave
37.7230421,-122.4471668,37.7230356,-122.4490989,Ocean Ave
37.7230356,-122.4490989,37.7243288,-122.448729,Cloud Cir
37.7243288,-122.448729,37.7243851,-122.4488472,Cloud Cir
37.7243851,-122.4488472,37.7247456,-122.4488008,Cloud Cir
37.7247456,-122.4488008,37.7252505,-122.4493382,Cloud Cir
37.7252505,-122.4493382,37.7253582,-122.4495828,Cloud Cir
37.7253582,-122.4495828,37.7268457,-122.450697,Cloud Cir
37.7268457,-122.450697,37.7283574,-122.4507826,Judson Ave
37.7283574,-122.4507826,37.7283576,-122.4511262,Judson Ave
37.7283576,-122.4511262,37.7295173,-122.4511322,Gennessee St
37.7229214,-122.4449723,37.7229198,-122.4471932,Ocean Ave
37.7229198,-122.4471932,37.7230421,-122.4471668,Ocean Ave
37.7230421,-122.4471668,37.7230356,-122.4490989,Ocean Ave
37.7230356,-122.4490989,37.7243288,-122.448729,Cloud Cir
37.7243288,-122.448729,37.7243851,-122.4488472,Cloud Cir
37.7243851,-122.4488472,37.7247456,-122.4488008,Cloud Cir
37.7247456,-122.4488008,37.7252505,-122.4493382,Cloud Cir
37.7252505,-122.4493382,37.7253582,-122.4495828,Cloud Cir
37.7253582,-122.4495828,37.7268457,-122.450697,Cloud Cir
37.7268457,-122.450697,37.7283574,-122.4507826,Judson Ave
37.7283574,-122.4507826,37.7283576,-122.4511262,Judson Ave
37.7283576,-122.4511262,37.7298729,-122.4511327,Gennessee St
37.7298729,-122.4511327,37.7298817,-122.4494822,Flood Ave
37.7229205,-122.4449478,37.7229128,-122.4447991,Ocean Ave
37.7229128,-122.4447991,37.7249813,-122.4431054,San Jose Avenue
37.7249813,-122.4431054,37.7249827,-122.4450576,Sgt John V Young St
37.7249827,-122.4450576,37.7262701,-122.4452415,Havelock St
37.7262701,-122.4452415,37.7266888,-122.4465567,Havelock St
37.7266888,-122.4465567,37.7298936,-122.4465758,Edna St
37.7298936,-122.4465758,37.7298876,-122.4481879,Flood Ave
37.7229205,-122.4449478,37.7229128,-122.4447991,Ocean Ave
37.7229128,-122.4447991,37.7249813,-122.4431054,San Jose Avenue
37.7249813,-122.4431054,37.7249827,-122.4450576,Sgt John V Young St
37.7249827,-122.4450576,37.7262701,-122.4452415,Havelock St
37.7262701,-122.4452415,37.7266888,-122.4465567,Havelock St
37.7266888,-122.4465567,37.7295169,-122.4465772,Edna St
37.7229205,-122.4449478,37.7229128,-122.4447991,Ocean Ave
37.7229128,-122.4447991,37.7274866,-122.4411621,San Jose Avenue
37.7274866,-122.4411621,37.7282557,-122.4442001,Paulding St
37.7282557,-122.4442001,37.7299102,-122.4442931,Detroit St
37.7299102,-122.4442931,37.7299007,-122.4456034,Flood Ave
37.7229205,-122.4449478,37.7229128,-122.4447991,Ocean Ave
37.7229128,-122.4447991,37.7274866,-122.4411621,San Jose Avenue
37.7274866,-122.4411621,37.7282557,-122.4442001,Paulding St
37.7282557,-122.4442001,37.7295177,-122.4442893,Detroit St
37.7229205,-122.4449478,37.7229128,-122.4447991,Ocean Ave
37.7229128,-122.4447991,37.7274866,-122.4411621,San Jose Avenue
