-122.456246944,37.7376295615,-122.456576111,37.7379416677,Dalewood Way,4577000.0,22402000.0,28162000.0,WAY
-122.480718404,37.7922337722,-122.480862366,37.7920861606,South Van Horn Ln,19707000.0,51775000.0,51754000.0,LN
-122.453265322,37.7112048299,-122.453983416,37.7108381756,Alemany Blvd,2177201.0,21579000.0,33440000.0,BLVD
-122.427155508,37.7366849508,-122.428429228,37.7358574509,Arlington St,2451000.0,21855000.0,21856000.0,ST
-122.411867805,37.7987785503,-122.411941407,37.7991389641,Eaton Pl,5051000.0,50135000.0,25421000.0,PL
-122.429989277,37.7948949373,-122.430182832,37.7958535175,Laguna St,7975000.0,26578000.0,26574000.0,ST
-122.4833661,37.7911054185,-122.483383842,37.791238531,Battery Chamberlin Rd,19028000.0,51386000.0,51432000.0,RD
-122.456174591,37.714927181,-122.459046135,37.7149083457,Lobos St,8417000.0,21596000.0,22474000.0,ST
-122.471135751,37.8029057382,-122.471250947,37.8030294806,Storey Ave,19733000.0,51344000.0,51349000.0,AVE
-122.440903353,37.709106872,-122.441476254,37.7089116602,Knott Ct,7907000.0,21456000.0,51024000.0,CT
-122.449450619,37.7131304021,-122.450140539,37.7127630611,Moneta Way,9243000.0,21562000.0,21568000.0,WAY
-122.417964705,37.7586982725,-122.417811899,37.7571009321,Capp St,3677000.0,24130000.0,24084000.0,ST
-122.429624443,37.7107389202,-122.43014957,37.7108721718,Chicago Way,3987000.0,51029000.0,21370000.0,WAY
-122.42233695,37.7987615795,-122.423982145,37.7985524536,Union St,12863000.0,25563000.0,26686000.0,ST
-122.45713779,37.7781944708,-122.458637896,37.7780083499,Edward St,5105000.0,27208000.0,27214000.0,ST
-122.38985196,37.7642602152,-122.389732816,37.7629861064,Tennessee St,12482000.0,23651000.0,23571000.0,ST
-122.446293142,37.7513125041,-122.44623238,37.7514720874,Crestline Dr,4523000.0,22347000.0,32986000.0,DR
-122.453876463,37.735315291,-122.45345921,37.735521024,Cresta Vista Dr,4511000.0,33009000.0,22384000.0,DR
-122.454464817,37.7122793703,-122.45466524,37.7123307242,Lawrence Ave,8184000.0,51111000.0,21597000.0,AVE
-122.444499333,37.7229169996,-122.444632663,37.7229292679,Ocean Ave,9813101.0,22079000.0,22102000.0,AVE
-122.41845104,37.7189396632,-122.41851237,37.7187660906,John F Shelley Dr,7551000.0,20941000.0,20945000.0,DR
-122.439548704,37.7087541185,-122.440024567,37.7089685812,Polaris Way,10545000.0,51000000.0,33351000.0,WAY
-122.451619177,37.7263009652,-122.451537452,37.7259276122,Science Cir,19801000.0,52196000.0,52188000.0,CIR
-122.469818028,37.7160934957,-122.470713656,37.7160887466,Sargent St,11654000.0,22720000.0,22724000.0,ST
-122.427045475,37.747695853,-122.42696826,37.7468965798,Church St,4032000.0,21916000.0,21915000.0,ST
-122.401063551,37.7396583904,-122.403186205,37.7390738255,Industrial St,7205201.0,20755000.0,20788000.0,ST
-122.456325267,37.7984783323,-122.456063735,37.7988244178,Funston Ave,19125000.0,51269000.0,51546000.0,AVE
-122.447229239,37.8051955515,-122.447286872,37.8051600897,Marina Blvd,8708201.0,27014000.0,27020000.0,BLVD
-122.475644468,37.7430518124,-122.476764599,37.7430026329,Taraval St,12395000.0,23183000.0,23195000.0,ST
-122.47455091,37.7730111335,-122.475613626,37.7729624102,Fulton St,5923000.0,27453000.0,27456000.0,ST
-122.418633617,37.7656862331,-122.418579139,37.7651171592,Capp St,3672000.0,24366000.0,24365000.0,ST
-122.45801564,37.733408978,-122.458229757,37.7338828528,Colon Ave,4281000.0,22651000.0,22801000.0,AVE
-122.499759653,37.7644497111,-122.499627454,37.7625693982,40th Ave,1889000.0,27792000.0,27789000.0,AVE
-122.414452761,37.7247930495,-122.414777339,37.7247067154,Bacon St,2589000.0,20884000.0,20950000.0,ST
-122.410031829,37.7299445382,-122.411014547,37.7296877221,Silliman St,11878000.0,20903000.0,20922000.0,ST
-122.449537612,37.7513981822,-122.449421588,37.7519198228,Aquavista Way,2379000.0,32961000.0,26224000.0,WAY
-122.420302986,37.7299910447,-122.42036625,37.7296206077,Gladstone Dr,6212000.0,20999000.0,21004000.0,DR
-122.49223831,37.7289406505,-122.491912289,37.7289014258,Lake Merced Blvd,8045101.0,23308000.0,33508000.0,BLVD
-122.416775966,37.7295176469,-122.416914055,37.7295154001,Tulane St,12708000.0,33330000.0,50928000.0,ST
-122.403521178,37.8030547792,-122.404798317,37.8029007622,Greenwich St,6487000.0,50341000.0,50340000.0,ST
-122.501735047,37.7705588928,-122.501614903,37.7703969,Chain Of Lakes Dr,3882000.0,27871000.0,27827000.0,DR
-122.447624826,37.7609326874,-122.448959434,37.7608514043,Carmel St,3701000.0,26201000.0,26264000.0,ST
-122.443525144,37.7382082094,-122.443640435,37.738101258,Marietta Dr,8693101.0,22298000.0,33021000.0,DR
-122.425919713,37.7318157725,-122.426095455,37.7316705978,Congdon St,4327000.0,33636000.0,21006000.0,ST
-122.439608761,37.7302434872,-122.439686066,37.7303257207,Baden St,2594000.0,33377000.0,22131000.0,ST
-122.419613973,37.8019948627,-122.421143701,37.8018058602,Lombard St,8450000.0,25565000.0,25566000.0,ST
-122.424259822,37.7170843886,-122.424656182,37.7171318946,Mansell St,8675201.0,33338000.0,33339000.0,ST
-122.382125707,37.7280514437,-122.383993749,37.7291117026,Quesada Ave,10811000.0,20117000.0,20135000.0,AVE
-122.462841913,37.7604522548,-122.462791899,37.7597357836,06th Ave,325000.0,27077000.0,27076000.0,AVE
