-71.143356027,42.3883380503,-71.1434085508,42.3884041528,Concord Ave,Concord_Ave_22,373.0,2184.0,Ave
-71.1359562751,42.3836531805,-71.1359486432,42.3837315542,Granville Rd,Granvil_Rd_2,578.0,530.0,Rd
-71.1423187376,42.3804815705,-71.14236488,42.3806144718,Grozier Rd,Grozier_Rd_3,678.0,659.0,Rd
-71.1223451159,42.3748560855,-71.1218500167,42.3752580845,Appian Way,Appian_Way_1,1013.0,917.0,Way
-71.1235975125,42.3915664747,-71.1238824403,42.3917598473,Massachusetts Ave,Massach_Ave_84,255.0,2147.0,Ave
-71.1056801519,42.3665904409,-71.105784254,42.3666540762,Massachusetts Ave,Massach_Ave_22,1649.0,1624.0,Ave
-71.0997716394,42.3636493161,-71.0994740898,42.3641543712,Columbia St,Columbi_St_1,1843.0,1805.0,St
-71.1129642688,42.3590443199,-71.113055212,42.3590989587,Chestnut St,Chestnu_St_8,2035.0,2025.0,St
-71.1346628755,42.3857723271,-71.1343847636,42.386274842,Hazel St,Hazel_St_1,450.0,421.0,St
-71.1013136376,42.3736749202,-71.1012372525,42.3737806865,Antrim St,Antrim_St_2,1320.0,1088.0,St
-71.1210110317,42.3889304085,-71.1214538977,42.3892401617,Porter Rd,Porter_Rd_2,339.0,336.0,Rd
-71.13286512,42.3933864217,-71.1328705435,42.3934915913,Sherman St,Sherman_St_11,263.0,200.0,St
-71.1185147213,42.3757462738,-71.1185257669,42.375792548,Peabody St,Peabody_St_3,954.0,886.0,St
-71.1087834004,42.368379502,-71.108689162,42.3684611471,Hancock St,Hancock_St_4,1528.0,1482.0,St
-71.1208036758,42.3812127832,-71.120812152,42.3812065546,Rutland St,Rutland_St_1,630.0,663.0,St
-71.1264369752,42.3732014897,-71.1264405491,42.3732041631,Memorial Dr,Memoria_Dr_40,1149.0,1113.0,Dr
-71.1332725354,42.3774405981,-71.1333795701,42.3774275757,Brattle St,Brattle_St_29,817.0,828.0,St
-71.1286062476,42.389518311,-71.1286519051,42.3895219982,Richdale Ave,Richdal_Ave_5,344.0,335.0,Ave
-71.0929504786,42.3676411486,-71.0929420558,42.3676446861,Clark St,Clark_St_6,1588.0,1569.0,St
-71.1577762256,42.3873331469,-71.157699629,42.3874924037,Blanchard Rd,Blancha_Rd_1,418.0,2186.0,Rd
-71.1050607881,42.3624469225,-71.1052444683,42.3622800544,Pearl St,Pearl_St_18,1887.0,1905.0,St
-71.1319833853,42.3957723894,-71.1321541112,42.3957684625,Dudley St,Dudley_St_7,120.0,121.0,St
-71.0847608816,42.3645174009,-71.0847880612,42.3644016712,Fifth St,Fifth_St_1,1723.0,1789.0,St
-71.096106813,42.3648358058,-71.0962664539,42.3648630936,Washington St,Washing_St_1,1823.0,1763.0,St
-71.1369098999,42.3760203086,-71.1368583485,42.3760005258,Traill St,Traill_St_1,913.0,998.0,St
-71.1420089137,42.3978461679,-71.1423128476,42.3978818802,Concord Tpk,Concord_Tpk_4,2212.0,76.0,Tpk
-71.119278178,42.3734969902,-71.119241999,42.3735191523,Massachusetts Ave,Massach_Ave_43,1106.0,1072.0,Ave
-71.1370717887,42.3750318021,-71.1371572058,42.375018708,Mt Auburn St,Mt-A_St_40,998.0,2141.0,St
-71.077109646,42.3713770057,-71.0777160444,42.371619807,Monsignor Obrien Hwy,Monsign-O_Hwy_6,2144.0,2135.0,Hwy
-71.1432975118,42.388271051,-71.143356027,42.3883380503,Concord Ave,Concord_Ave_22,373.0,2184.0,Ave
-71.1243372652,42.384399013,-71.125549906,42.3839957742,Bates St,Bates_St_1,502.0,519.0,St
-71.1428347534,42.3825333464,-71.1428720181,42.3825281111,Poplar Rd,Poplar_Rd_1,587.0,588.0,Rd
-71.1064846189,42.3782653664,-71.1063786862,42.3782856523,Kirkland St,Kirklan_St_16,769.0,760.0,St
-71.1001728463,42.3706985774,-71.1009100083,42.3709862469,St Mary Rd,St-M_Rd_1,1358.0,1322.0,Rd
-71.1145715623,42.3687295944,-71.1146965149,42.3687317967,Surrey St,Surrey_St_1,1516.0,1514.0,St
-71.0944374356,42.3684768145,-71.0947900597,42.3687649782,Hampshire St,Hampshi_St_6,1525.0,1510.0,St
-71.0792817829,42.3723348065,-71.0794422584,42.3724164535,Monsignor Obrien Hwy,Monsign-O_Hwy_8,1228.0,1196.0,Hwy
