-71.13286512;42.3933864217;[[0.0774, [32, 774, 970]], [0.0318, [4, 318, 1482]]];['-71.13286512', '42.3933864217', '-71.1328705435', '42.3934915913', 'Sherman St', 'Sherman_St_11', '263.0', '200.0', 'St\n']
-71.1328705435;42.3934915913;[[0.0624, [18, 624, 179]], [0.0014, [0, 14, 991]]];['-71.13286512', '42.3933864217', '-71.1328705435', '42.3934915913', 'Sherman St', 'Sherman_St_11', '263.0', '200.0', 'St\n']
-71.1185147213;42.3757462738;[[0.0009, [73, 9, 659]], [0.0308, [6, 308, 674]]];['-71.1185147213', '42.3757462738', '-71.1185257669', '42.375792548', 'Peabody St', 'Peabody_St_3', '954.0', '886.0', 'St\n']
-71.1185257669;42.375792548;[[0.0009, [73, 9, 659]], [0.0308, [6, 308, 674]]];['-71.1185147213', '42.3757462738', '-71.1185257669', '42.375792548', 'Peabody St', 'Peabody_St_3', '954.0', '886.0', 'St\n']
-71.1087834004;42.368379502;[[0.0042, [104, 42, 478]], [0.0053, [3, 53, 795]]];['-71.1087834004', '42.368379502', '-71.108689162', '42.3684611471', 'Hancock St', 'Hancock_St_4', '1528.0', '1482.0', 'St\n']
-71.108689162;42.3684611471;[[0.0465, [64, 465, 342]], [0.0087, [1, 87, 689]]];['-71.1087834004', '42.368379502', '-71.108689162', '42.3684611471', 'Hancock St', 'Hancock_St_4', '1528.0', '1482.0', 'St\n']
-71.1208036758;42.3812127832;[[0.1354, [6, 1354, 246]], [0.0516, [46, 516, 677]]];['-71.1208036758', '42.3812127832', '-71.120812152', '42.3812065546', 'Rutland St', 'Rutland_St_1', '630.0', '663.0', 'St\n']
-71.120812152;42.3812065546;[[0.1354, [6, 1354, 246]], [0.0516, [46, 516, 677]]];['-71.1208036758', '42.3812127832', '-71.120812152', '42.3812065546', 'Rutland St', 'Rutland_St_1', '630.0', '663.0', 'St\n']
-71.1264369752;42.3732014897;[[0.0349, [0, 349, 32]], [0.0085, [18, 85, 61]]];['-71.1264369752', '42.3732014897', '-71.1264405491', '42.3732041631', 'Memorial Dr', 'Memoria_Dr_40', '1149.0', '1113.0', 'Dr\n']
-71.1264405491;42.3732041631;[[0.0349, [0, 349, 32]], [0.0085, [18, 85, 61]]];['-71.1264369752', '42.3732014897', '-71.1264405491', '42.3732041631', 'Memorial Dr', 'Memoria_Dr_40', '1149.0', '1113.0', 'Dr\n']
-71.1332725354;42.3774405981;[[0.0139, [20, 139, 281]], [0.0461, [114, 461, 124]]];['-71.1332725354', '42.3774405981', '-71.1333795701', '42.3774275757', 'Brattle St', 'Brattle_St_29', '817.0', '828.0', 'St\n']
-71.1333795701;42.3774275757;[[0.0076, [15, 76, 566]], [0.036, [89, 360, 9]]];['-71.1332725354', '42.3774405981', '-71.1333795701', '42.3774275757', 'Brattle St', 'Brattle_St_29', '817.0', '828.0', 'St\n']
-71.1286062476;42.389518311;[[0.2039, [46, 2039, 262]], [0.0474, [474, 474, 768]]];['-71.1286062476', '42.389518311', '-71.1286519051', '42.3895219982', 'Richdale Ave', 'Richdal_Ave_5', '344.0', '335.0', 'Ave\n']
-71.1286519051;42.3895219982;[[0.2039, [46, 2039, 262]], [0.0474, [474, 474, 768]]];['-71.1286062476', '42.389518311', '-71.1286519051', '42.3895219982', 'Richdale Ave', 'Richdal_Ave_5', '344.0', '335.0', 'Ave\n']
-71.0929504786;42.3676411486;[[0.0022, [316, 22, 32]], [0.0118, [23, 118, 985]]];['-71.0929504786', '42.3676411486', '-71.0929420558', '42.3676446861', 'Clark St', 'Clark_St_6', '1588.0', '1569.0', 'St\n']
-71.0929420558;42.3676446861;[[0.0022, [316, 22, 32]], [0.0118, [23, 118, 985]]];['-71.0929504786', '42.3676411486', '-71.0929420558', '42.3676446861', 'Clark St', 'Clark_St_6', '1588.0', '1569.0', 'St\n']
-71.1577762256;42.3873331469;[[0.0745, [6, 745, 691]], [0.185, [0, 1850, 386]]];['-71.1577762256', '42.3873331469', '-71.157699629', '42.3874924037', 'Blanchard Rd', 'Blancha_Rd_1', '418.0', '2186.0', 'Rd\n']
-71.157699629;42.3874924037;[[0.0791, [20, 791, 612]], [0.2232, [1, 2232, 274]]];['-71.1577762256', '42.3873331469', '-71.157699629', '42.3874924037', 'Blanchard Rd', 'Blancha_Rd_1', '418.0', '2186.0', 'Rd\n']
-71.1050607881;42.3624469225;[[0.0717, [218, 717, 784]], [0.0188, [7, 188, 584]]];['-71.1050607881', '42.3624469225', '-71.1052444683', '42.3622800544', 'Pearl St', 'Pearl_St_18', '1887.0', '1905.0', 'St\n']
-71.1052444683;42.3622800544;[[0.008, [2, 80, 476]], [0.005, [87, 50, 132]]];['-71.1050607881', '42.3624469225', '-71.1052444683', '42.3622800544', 'Pearl St', 'Pearl_St_18', '1887.0', '1905.0', 'St\n']
-71.1319833853;42.3957723894;[[0.0037, [6, 37, 460]], [0.0013, [13, 13, 474]]];['-71.1319833853', '42.3957723894', '-71.1321541112', '42.3957684625', 'Dudley St', 'Dudley_St_7', '120.0', '121.0', 'St\n']
-71.1321541112;42.3957684625;[[0.0664, [63, 664, 102]], [0.0444, [1, 444, 11]]];['-71.1319833853', '42.3957723894', '-71.1321541112', '42.3957684625', 'Dudley St', 'Dudley_St_7', '120.0', '121.0', 'St\n']
-71.0847608816;42.3645174009;[[0.0707, [9, 707, 6]], [0.0429, [55, 429, 102]]];['-71.0847608816', '42.3645174009', '-71.0847880612', '42.3644016712', 'Fifth St', 'Fifth_St_1', '1723.0', '1789.0', 'St\n']
-71.0847880612;42.3644016712;[[0.0064, [0, 64, 257]], [0.0077, [19, 77, 352]]];['-71.0847608816', '42.3645174009', '-71.0847880612', '42.3644016712', 'Fifth St', 'Fifth_St_1', '1723.0', '1789.0', 'St\n']
-71.096106813;42.3648358058;[[0.0222, [78, 222, 595]], [0.0771, [40, 771, 616]]];['-71.096106813', '42.3648358058', '-71.0962664539', '42.3648630936', 'Washington St', 'Washing_St_1', '1823.0', '1763.0', 'St\n']
-71.0962664539;42.3648630936;[[0.0438, [154, 438, 824]], [0.024, [97, 240, 272]]];['-71.096106813', '42.3648358058', '-71.0962664539', '42.3648630936', 'Washington St', 'Washing_St_1', '1823.0', '1763.0', 'St\n']
-71.1369098999;42.3760203086;[[0.2279, [11, 2279, 2]], [0.1172, [118, 1172, 53]]];['-71.1369098999', '42.3760203086', '-71.1368583485', '42.3760005258', 'Traill St', 'Traill_St_1', '913.0', '998.0', 'St\n']
-71.1368583485;42.3760005258;[[0.1842, [146, 1842, 0]], [0.0845, [44, 845, 5]]];['-71.1369098999', '42.3760203086', '-71.1368583485', '42.3760005258', 'Traill St', 'Traill_St_1', '913.0', '998.0', 'St\n']
-71.1420089137;42.3978461679;[[0.0006, [6, 6, 373]], [0.0018, [68, 18, 88]]];['-71.1420089137', '42.3978461679', '-71.1423128476', '42.3978818802', 'Concord Tpk', 'Concord_Tpk_4', '2212.0', '76.0', 'Tpk\n']
-71.1423128476;42.3978818802;[[0.043, [5, 430, 884]], [0.0156, [0, 156, 1698]]];['-71.1420089137', '42.3978461679', '-71.1423128476', '42.3978818802', 'Concord Tpk', 'Concord_Tpk_4', '2212.0', '76.0', 'Tpk\n']
-71.119278178;42.3734969902;[[0.0181, [127, 181, 1]], [0.0006, [367, 6, 0]]];['-71.119278178', '42.3734969902', '-71.119241999', '42.3735191523', 'Massachusetts Ave', 'Massach_Ave_43', '1106.0', '1072.0', 'Ave\n']
-71.119241999;42.3735191523;[[0.0044, [27, 44, 177]], [0.0217, [144, 217, 215]]];['-71.119278178', '42.3734969902', '-71.119241999', '42.3735191523', 'Massachusetts Ave', 'Massach_Ave_43', '1106.0', '1072.0', 'Ave\n']
-71.1370717887;42.3750318021;[[0.1114, [153, 1114, 8]], [0.0356, [0, 356, 54]]];['-71.1370717887', '42.3750318021', '-71.1371572058', '42.375018708', 'Mt Auburn St', 'Mt-A_St_40', '998.0', '2141.0', 'St\n']
-71.1371572058;42.375018708;[[0.0441, [157, 441, 33]], [0.0585, [0, 585, 212]]];['-71.1370717887', '42.3750318021', '-71.1371572058', '42.375018708', 'Mt Auburn St', 'Mt-A_St_40', '998.0', '2141.0', 'St\n']
-71.077109646;42.3713770057;[[0.0097, [26, 97, 86]], [0.0, [33, 0, 46]]];['-71.077109646', '42.3713770057', '-71.0777160444', '42.371619807', 'Monsignor Obrien Hwy', 'Monsign-O_Hwy_6', '2144.0', '2135.0', 'Hwy\n']
-71.0777160444;42.371619807;[[0.0173, [117, 173, 0]], [0.0025, [5, 25, 174]]];['-71.077109646', '42.3713770057', '-71.0777160444', '42.371619807', 'Monsignor Obrien Hwy', 'Monsign-O_Hwy_6', '2144.0', '2135.0', 'Hwy\n']
-71.1432975118;42.388271051;[[0.0084, [83, 84, 117]], [0.0488, [1, 488, 979]]];['-71.1432975118', '42.388271051', '-71.143356027', '42.3883380503', 'Concord Ave', 'Concord_Ave_22', '373.0', '2184.0', 'Ave\n']
-71.143356027;42.3883380503;[[0.0496, [0, 496, 26]], [0.0761, [0, 761, 2155]]];['-71.1432975118', '42.388271051', '-71.143356027', '42.3883380503', 'Concord Ave', 'Concord_Ave_22', '373.0', '2184.0', 'Ave\n']
-71.1243372652;42.384399013;[[0.0428, [5, 428, 948]], [0.0629, [15, 629, 2958]]];['-71.1243372652', '42.384399013', '-71.125549906', '42.3839957742', 'Bates St', 'Bates_St_1', '502.0', '519.0', 'St\n']
-71.125549906;42.3839957742;[[0.0287, [1, 287, 3800]], [0.0441, [93, 441, 2983]]];['-71.1243372652', '42.384399013', '-71.125549906', '42.3839957742', 'Bates St', 'Bates_St_1', '502.0', '519.0', 'St\n']
-71.1428347534;42.3825333464;[[0.0772, [2, 772, 507]], [0.1022, [202, 1022, 24]]];['-71.1428347534', '42.3825333464', '-71.1428720181', '42.3825281111', 'Poplar Rd', 'Poplar_Rd_1', '587.0', '588.0', 'Rd\n']
