name,lng,lat
Sunset Park,-118.462374712,34.0150320293
Mid-City,-118.481763011,34.0305417557
Northeast,-118.479389554,34.0397530596
North of Montana,-118.500328454,34.0356363294
Ocean Park,-118.482191298,34.003858575
Pico,-118.473163544,34.0238323761
Wilshire,-118.495806222,34.0264284722
Downtown Area,-118.493686234,34.0127783796
South Beach,-118.493928,34.0085758705
