lat,lng,name
42.36583,-71.09715,Area Four
42.386215,-71.130452,Neighborhood Nine
42.358885,-71.093116,MIT
42.359000,-71.11106,Cambridgeport
42.368113,-71.113801,Riverside
42.371696,-71.108823,Mid-Cambridge
42.370777,-71.093459,Wellington-Harrington
42.368589,-71.082902,East Cambridge
42.380446,-71.114316,Agassiz
42.39164,-71.151705,Cambridge Highlands
42.378786,-71.151746,Strawberry Hill
42.377476,-71.134143,West Cambridge
42.395184,-71.135053,North Cambridge
