40.7387795,-73.9771551,1st Avenue,East 26th Street
40.734242,-73.9835512,2nd Avenue,East 17th Street
40.7365839,-73.9818317,East 21st Street,2nd Avenue
40.7385442,-73.9804458,East 24th Street,2nd Avenue
40.7391612,-73.9799758,2nd Avenue,East 25th Street
40.7419627,-73.9808715,3rd Avenue,East 28th Street
40.742574,-73.9803994,East 29th Street,3rd Avenue
40.7402522,-73.9905273,5th Avenue,East 21st Street
40.7360044,-73.993644,West 14th Street,5th Avenue
40.742223,-73.9932895,6th Avenue,West 22nd Street
40.7441722,-73.9918674,6th Avenue,West 25th Street
40.7460245,-73.9905199,6th Avenue,West 28th Street
40.74047,-73.998287,7th Avenue,West 17th Street
40.7372149,-73.9753783,Asser Levy Place,East 25th Street
40.737098,-73.9903523,East 17th Street,Union Square West
40.7405702,-73.9893633,East 22nd Street,Broadway
40.7365646,-73.989071,East 17th Street,Union Square East
40.737027,-73.9865473,Irving Place,East 19th Street
40.7377464,-73.9882183,East 19th Street,Park Avenue South
40.7414789,-73.9854932,East 25th Street,Park Avenue South
40.7426685,-73.984475,East 27th Street,Park Avenue South
40.7426449,-73.982462,Lexington Avenue,East 28th Street
40.7471533,-73.9855036,5th Avenue,West 32nd Street
40.7484326,-73.9845368,East 34th Street,5th Avenue
40.7491122,-73.9840674,5th Avenue,East 35th Street
40.7515812,-73.9822803,West 39th Street,5th Avenue
40.7535119,-73.9808829,5th Avenue,West 42nd Street
40.7485077,-73.9887129,West 32nd Street,6th Avenue
40.7516796,-73.9901898,West 35th Street,7th Avenue
40.752895,-73.989243,7th Avenue,West 37th Street
40.7496662,-73.9953026,8th Avenue,West 30th Street
40.75219,-73.993464,8th Avenue,West 34th Street
40.752857,-73.9929789,8th Avenue,West 35th Street
40.753474,-73.992528,West 36th Street,8th Avenue
40.7471157,-73.9814401,Park Avenue,East 34th Street
40.750777,-73.9765355,Lexington Avenue,East 41st Street
40.7515812,-73.9822803,West 39th Street,5th Avenue
40.7527046,-73.9671774,1st Avenue,East 48th Street
40.7532695,-73.9666651,East 49th Street,1st Avenue
40.7447687,-73.9758772,East 34th Street,2nd Avenue
40.7454339,-73.9753831,East 35th Street,2nd Avenue
40.7466704,-73.9744801,East 37th Street,2nd Avenue
40.7485249,-73.973144,2nd Avenue,East 40th Street
40.7491528,-73.9726974,2nd Avenue,East 41st Street
40.7438202,-73.9794919,East 31st Street,3rd Avenue
40.7444253,-73.9790459,3rd Avenue,East 32nd Street
40.7488446,-73.9758171,East 39th Street,3rd Avenue
40.7533142,-73.972574,East 46th Street,3rd Avenue
40.7444913,-73.9811102,Lexington Avenue,East 31st Street
40.7431796,-73.972114,FDR Dr,East 34th Street
40.7476796,-73.9787927,Lexington Avenue,East 36th Street
40.7482943,-73.9783341,East 37th Street,Lexington Avenue
40.7495338,-73.9774302,East 39th Street,Lexington Avenue
40.7480016,-73.9684633,Queens-Midtown Tunnel,FDR Drive
40.7527443,-73.975084,East 44th Street,Lexington Avenue
40.7519248,-73.9652655,FDR Drive,East 48th Street
40.713173,-73.978181,Grand Street,FDR Drive
40.713173,-73.978181,Grand Street,FDR Drive
40.726852,-73.986249,East 7th Street,1st Avenue
40.7354336,-73.9751248,East 23rd Street,Avenue C
