45.474075,-122.579055556,Glenwood Street,82nd Avenue
45.5200194444,-122.691469444,Salmon Street,18th Avenue
45.4975138889,-122.611752778,Powell Boulevard,50th Avenue
45.5150888889,-122.659741667,Taylor Street,6th Avenue
45.5586583333,-122.563166667,Sandy Boulevard,Transit Center
45.5222,-122.653611111,Ankeny Street,12th Avenue
45.4857855556,-122.578888889,82nd Avenue,Raymond Court
45.5191388889,-122.513272222,Stark Street,146th Avenue
45.5122138889,-122.654488889,Hawthorne Boulevard,11th Avenue
45.5209166667,-122.674088889,Oak Street,3rd Avenue
45.5490277778,-122.504086111,Milton Street,154th Avenue
45.5213111111,-122.698202778,Park Place,Vista Avenue
45.5190305556,-122.537777778,Stark Street,122nd Avenue
45.5299527778,-122.689677778,Lovejoy Street,18th Avenue
45.5533305556,-122.661544444,Martin Luther,Mason Street
45.5279111111,-122.645455556,Irving Street,20th Avenue
45.5351008333,-122.665697222,Broadway,Victoria Avenue
45.5143805556,-122.660761111,Salmon Street,Grand Avenue
45.5350497222,-122.650474167,Broadway,15th Avenue
45.5190208333,-122.538269444,Stark Street,122nd Avenue
45.5891916667,-122.751624167,Lombard Street,Charleston Avenue
45.4928388889,-122.574780556,Bush Street,86th Avenue
45.5664444444,-122.661116667,Ainsworth Street,Martin Luther
45.4429722222,-122.738583333,60th Avenue,Capitol Highway
45.54285,-122.666663889,Williams Avenue,Graham Street
45.5348869444,-122.668809167,Broadway,Wheeler Avenue
45.5122472222,-122.660769444,Hawthorne Boulevard,Grand Avenue
45.5126277778,-122.578711111,Madison Street,82nd Avenue
45.4896777778,-122.542,Holgate Boulevard,118th Avenue
45.5343611111,-122.662663889,Weidler Street,3rd Avenue
45.5262277778,-122.698475,Glisan Street,23rd Avenue
45.5270472222,-122.677583333,Broadway,Hoyt Street
45.4935,-122.609016667,52nd Avenue,Gladstone Street
45.5263222222,-122.535399722,Glisan Street,125th Avenue
45.5183255556,-122.55535,Washington Street,105th Avenue
45.5250138889,-122.637216667,Everett Street,28th Avenue
45.481025,-122.57265,Foster Road,88th Avenue
45.5266166667,-122.677566667,Glisan Street,Broadway
45.5115194444,-122.656722222,Clay Street,9th Avenue
45.5048,-122.622641667,Cesar E,Division Street
45.4956805556,-122.591180556,Rhone Street,70th Avenue
45.5288,-122.665763889,Interstate Avenue,Oregon Street
45.5230472222,-122.677411111,Broadway,Burnside Street
45.5833958333,-122.684813889,Interstate Avenue,Fenwick Avenue
45.5718777778,-122.636566667,Dekum Street,29th Avenue
45.5231194444,-122.597127778,65th Avenue,Burnside Street
45.5320944444,-122.689547222,Overton Street,18th Avenue
45.4978694444,-122.671833333,Moody Avenue,Curry Street
45.5083416667,-122.649875,Ladd Circle,Elliott Avenue
45.5760611111,-122.566208333,Mount Hood,Cascades Parkway
45.6029111111,-122.675963889,Marine Drive,Anchor Way
45.5170611111,-122.4965,162nd Avenue,Alder Street
45.5591888889,-122.558569444,Sandy Boulevard,101st Avenue
45.5350666667,-122.660619444,Grand Avenue,Broadway
45.5178744444,-122.677013889,Yamhill Street,4th Avenue
45.5627055556,-122.670122222,Killingsworth Street,Haight Avenue
45.5696777778,-122.668871667,Vancouver Avenue,Rosa Parks
45.5588638889,-122.554711111,Sandy Boulevard,105th Avenue
45.53436,-122.668669444,Weidler Street,Flint Avenue
45.51295,-122.658702778,7th Avenue,Madison Street
45.5428277778,-122.6681275,Vancouver Avenue,Graham Street
45.5165111111,-122.657705556,8th Avenue,Belmont Street
45.527925,-122.649502778,Irving Street,16th Avenue
45.5151,-122.661811111,Martin Luther,Taylor Street
45.498775,-122.681386111,Trail,Connector
45.4815805556,-122.707744444,Beaverton Hillsdale,Dosch Road
45.5591305556,-122.660463889,Grand Avenue,Alberta Street
45.5150777778,-122.496505556,Salmon Street,162nd Avenue
45.5390972222,-122.6367,28th Avenue,Thompson Street
45.4974416667,-122.620758333,Powell Boulevard,40th Avenue
45.4795194444,-122.589291667,Woodstock Boulevard,72nd Avenue
45.52365,-122.6607,Couch Street,Grand Avenue
45.5335194444,-122.553536111,Halsey Street,106th Avenue
45.5215111111,-122.660713889,Ash Street,Grand Avenue
45.4796111111,-122.586722222,Woodstock Boulevard,74th Avenue
45.5751083333,-122.709019444,Willamette Boulevard,Hurst Avenue
45.5428277778,-122.6681275,Vancouver Avenue,Graham Street
45.5213111111,-122.698202778,Park Place,Vista Avenue
45.5893555556,-122.748619444,Lombard Street,Oswego Avenue
45.5045888889,-122.574869444,Division Street,85th Avenue
45.5293944444,-122.665983333,Interstate Avenue,Wheeler Avenue
45.5328416667,-122.679755556,Naito Parkway,9th Avenue
45.5315111111,-122.658622222,Multnomah Street,7th Avenue
45.4961083333,-122.680677778,Terwilliger Boulevard,Condor Lane
45.5695861111,-122.650050833,15th Avenue,Portland Boulevard
45.4637472222,-122.647038889,17th Avenue,Tenino Street
45.5121861111,-122.646830556,Hawthorne Boulevard,Poplar Avenue
45.5122472222,-122.660769444,Hawthorne Boulevard,Grand Avenue
45.5232138889,-122.694280556,Burnside Street,21st Avenue
45.4900027778,-122.567038889,Holgate Boulevard,Corridor
45.5337694444,-122.638144444,Halsey Street,27th Avenue
45.4991361111,-122.68755,Sam Jackson,United States
45.5230222222,-122.678436111,Burnside Street,8th Avenue
45.5225083333,-122.670244444,Naito Parkway,Ankeny Street
45.4466305556,-122.687119444,Boones Ferry,Arnold Street
45.5149277778,-122.677327778,Madison Street,3rd Avenue
45.5334661111,-122.548627778,111th Avenue,Halsey Street
45.5164805556,-122.649588889,Belmont Street,16th Avenue
